size,algorithm,data_type,run_index,seed,time_s,comparisons,metadata,hostname,cpu_info,compiler_info,timestamp
30000,open_addressing,insert,2,44,0.000590308,0,"load_factor=0.7000;total_probes=64748;max_cluster=128","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
30000,chaining,insert,3,45,0.000350271,0,"load_factor=0.7000;collisions=6659;max_chain=7","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
30000,open_addressing,insert,3,45,0.000619400,0,"load_factor=0.7000;total_probes=66616;max_cluster=105","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
30000,chaining,insert,4,46,0.000379192,0,"load_factor=0.7000;collisions=6679;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
30000,open_addressing,insert,4,46,0.000606422,0,"load_factor=0.7000;total_probes=65998;max_cluster=90","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
40000,chaining,insert,0,42,0.000533975,0,"load_factor=0.7000;collisions=8907;max_chain=8","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
40000,open_addressing,insert,0,42,0.000785931,0,"load_factor=0.7000;total_probes=86252;max_cluster=99","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
40000,chaining,insert,1,43,0.000483325,0,"load_factor=0.7000;collisions=8892;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
40000,open_addressing,insert,1,43,0.000805109,0,"load_factor=0.7000;total_probes=87848;max_cluster=89","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
40000,chaining,insert,2,44,0.000466083,0,"load_factor=0.7000;collisions=8962;max_chain=5","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
40000,open_addressing,insert,2,44,0.000795874,0,"load_factor=0.7000;total_probes=87973;max_cluster=113","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
40000,chaining,insert,3,45,0.000513858,0,"load_factor=0.7000;collisions=8929;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
40000,open_addressing,insert,3,45,0.000798333,0,"load_factor=0.7000;total_probes=87324;max_cluster=136","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
40000,chaining,insert,4,46,0.000553151,0,"load_factor=0.7000;collisions=8925;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
40000,open_addressing,insert,4,46,0.000804073,0,"load_factor=0.7000;total_probes=86804;max_cluster=88","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
50000,chaining,insert,0,42,0.000757664,0,"load_factor=0.7000;collisions=11038;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
50000,open_addressing,insert,0,42,0.000972999,0,"load_factor=0.7000;total_probes=106844;max_cluster=80","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
50000,chaining,insert,1,43,0.000651872,0,"load_factor=0.7000;collisions=11121;max_chain=7","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
50000,open_addressing,insert,1,43,0.001006964,0,"load_factor=0.7000;total_probes=109201;max_cluster=95","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
50000,chaining,insert,2,44,0.000625641,0,"load_factor=0.7000;collisions=11168;max_chain=6","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
50000,open_addressing,insert,2,44,0.000908647,0,"load_factor=0.7000;total_probes=110309;max_cluster=144","INOVAI-NB-8","CPU info","GCC 13.3.0","2025-10-06 17:39:37"
